Date,Open,High,Low,Close,Adj Close,Volume
2015-06-22,302.399994,320.739990,302.399994,319.899994,319.899994,6500
2015-06-23,319.899994,321.440002,302.399994,307.160004,307.160004,6500
2015-06-24,304.079987,314.019989,304.079987,307.019989,307.019989,9100
2015-06-25,305.619995,313.179993,271.138000,274.399994,274.399994,18800
2015-06-26,272.440002,281.820007,262.500000,275.239990,275.239990,63700
2015-06-29,276.079987,276.079987,259.140015,263.899994,263.899994,4000
2015-06-30,263.339996,268.519989,254.729996,259.279999,259.279999,3000
2015-07-01,258.579987,263.059998,232.399994,238.000000,238.000000,7000
2015-07-02,238.000000,238.000000,226.240005,230.860001,230.860001,4800
2015-07-06,231.000000,238.279999,220.919998,227.360001,227.360001,4300
2015-07-07,226.380005,232.960007,215.600006,226.240005,226.240005,5400
2015-07-08,224.839996,224.839996,206.639999,209.440002,209.440002,9100
2015-07-09,211.119995,219.268005,211.119995,214.619995,214.619995,4100
2015-07-10,218.820007,260.820007,217.139999,257.040009,257.040009,11700
2015-07-13,259.700012,274.959991,257.600006,272.299988,272.299988,11100
2015-07-14,269.500000,270.843994,247.800003,251.440002,251.440002,9000
2015-07-15,249.899994,251.160004,231.839996,244.860001,244.860001,6600
2015-07-16,246.259995,254.940002,243.460007,250.179993,250.179993,6000
2015-07-17,251.300003,261.940002,237.300003,237.720001,237.720001,9100
2015-07-20,240.940002,240.940002,221.479996,223.860001,223.860001,7700
2015-07-21,225.399994,225.399994,216.300003,221.199997,221.199997,4500
2015-07-22,220.080002,240.309998,220.080002,233.800003,233.800003,7800
2015-07-23,245.000000,246.231995,229.880005,233.380005,233.380005,9100
2015-07-24,233.240005,256.760010,214.563995,247.940002,247.940002,10300
2015-07-27,245.979996,249.339996,239.595993,245.279999,245.279999,2100
2015-07-28,240.940002,272.859985,240.800003,264.739990,264.739990,9800
2015-07-29,263.200012,263.339996,244.440002,246.960007,246.960007,8100
2015-07-30,244.384003,260.540009,244.384003,253.960007,253.960007,4000
2015-07-31,256.200012,270.312012,247.100006,262.500000,262.500000,5700
2015-08-03,261.380005,284.200012,257.739990,272.859985,272.859985,5600
2015-08-04,274.679993,285.977997,274.679993,278.320007,278.320007,3300
