Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,44.799999,45.16,43.880001,44.25,44.25,178900,
2020-01-03,44.189999,45.900002,44.189999,45.459998999999996,45.459998999999996,196600,0.027344610169491412
2020-01-06,45.099998,46.27,43.0,45.75,45.75,142300,0.006379256629548191
2020-01-07,45.799999,47.509997999999996,43.41,47.139998999999996,47.139998999999996,235800,0.030382491803278677
2020-01-08,47.279999,47.389998999999996,45.82,47.209998999999996,47.209998999999996,132300,0.0014849385126207704
2020-01-09,47.419998,50.310001,47.419998,47.889998999999996,47.889998999999996,182400,0.014403728328822973
2020-01-10,48.099998,49.09,47.669998,48.360001000000004,48.360001000000004,70900,0.009814199411447122
2020-01-13,48.59,49.540001000000004,47.849998,48.900002,48.900002,69800,0.011166273549084504
2020-01-14,48.810001,49.540001000000004,48.0,48.93,48.93,191300,0.0006134560076296314
2020-01-15,49.16,49.900002,48.450001,49.779999,49.779999,54600,0.017371735131820998
2020-01-16,50.0,50.540001000000004,48.919998,50.25,50.25,137100,0.009441563066323155
2020-01-17,50.009997999999996,50.799999,49.830002,50.43,50.43,70100,0.0035820895522387097
2020-01-21,50.939999,51.240002000000004,49.889998999999996,50.830002,50.830002,140600,0.00793182629387279
2020-01-22,50.970001,52.490002000000004,50.970001,51.799999,51.799999,155100,0.019083158800583977
2020-01-23,51.25,51.82,50.68,51.48,51.48,59100,-0.006177586991845341
2020-01-24,51.720001,52.040001000000004,50.740002000000004,51.34,51.34,79400,-0.002719502719502609
2020-01-27,50.540001000000004,50.540001000000004,48.970001,49.98,49.98,68400,-0.026490066225165698
2020-01-28,50.02,50.93,49.82,50.720001,50.720001,81100,0.014805942376950876
2020-01-29,50.790001000000004,51.299999,50.419998,51.259997999999996,51.259997999999996,58200,0.010646628338985886
2020-01-30,51.099998,51.799999,50.700001,51.650002,51.650002,93400,0.00760834988717729
2020-01-31,51.790001000000004,52.759997999999996,51.0,51.880001,51.880001,180400,0.0044530298372496
2020-02-03,52.040001000000004,53.5,51.560001,52.540001000000004,52.540001000000004,108200,0.0127216651364368
2020-02-04,53.049999,53.049999,52.169998,52.400002,52.400002,61200,-0.002664617383619783
2020-02-05,52.709998999999996,52.75,51.560001,52.200001,52.200001,109000,-0.003816812831419325
2020-02-06,52.689999,54.91,52.400002,54.5,54.5,275100,0.04406128268081844
2020-02-07,54.5,54.790001000000004,52.869999,53.07,53.07,241000,-0.02623853211009175
2020-02-10,52.91,53.380001,49.869999,50.25,50.25,123400,-0.05313736574335781
2020-02-11,50.099998,50.41,49.439999,50.040001000000004,50.040001000000004,139100,-0.004179084577114356
2020-02-12,50.16,51.369999,49.93,51.200001,51.200001,140300,0.023181454372872556
2020-02-13,50.810001,54.57,49.799999,53.169998,53.169998,96800,0.038476503154755815
2020-02-14,53.43,57.330002,53.43,57.310001,57.310001,86200,0.07786351618820819
2020-02-18,57.18,58.110001000000004,56.349998,56.740002000000004,56.740002000000004,156100,-0.009945890595953633
2020-02-19,57.150002,57.689999,56.549999,56.549999,56.549999,113800,-0.003348660438891149
2020-02-20,56.509997999999996,58.32,56.34,57.360001000000004,57.360001000000004,100000,0.014323643047279289
2020-02-21,57.540001000000004,59.490002000000004,57.419998,59.150002,59.150002,79400,0.031206432510348048
2020-02-24,58.110001000000004,58.490002000000004,55.07,55.84,55.84,157100,-0.05595945711041561
2020-02-25,55.889998999999996,56.799999,55.0,55.259997999999996,55.259997999999996,88400,-0.010386855300859699
2020-02-26,55.689999,57.990002000000004,54.450001,55.18,55.18,225200,-0.0014476656332850224
2020-02-27,54.240002000000004,54.450001,52.119999,53.5,53.5,112800,-0.030445813700616164
2020-02-28,52.5,53.950001,49.959998999999996,51.110001000000004,51.110001000000004,215900,-0.04467287850467283
2020-03-02,51.82,53.650002,50.700001,53.16,53.16,103300,0.040109547248883715
2020-03-03,53.099998,56.93,52.990002000000004,55.98,55.98,307100,0.053047404063205406
2020-03-04,56.490002000000004,58.040001000000004,55.759997999999996,56.169998,56.169998,96900,0.0033940335834226065
2020-03-05,55.66,57.32,52.669998,53.0,53.0,205400,-0.05643578623591905
2020-03-06,52.169998,53.810001,50.490002000000004,51.759997999999996,51.759997999999996,308600,-0.023396264150943424
2020-03-09,49.43,49.43,47.049999,47.82,47.82,276500,-0.07612052071563058
2020-03-10,49.209998999999996,49.740002000000004,45.669998,47.869999,47.869999,590900,0.0010455667084900977
2020-03-11,47.060001,48.330002,44.669998,46.490002000000004,46.490002000000004,319000,-0.02882801397175705
2020-03-12,43.720001,46.419998,37.189999,40.07,40.07,287700,-0.1380942508886105
2020-03-13,42.970001,45.610001000000004,40.34,44.84,44.84,446300,0.11904167706513613
2020-03-16,29.09,44.470001,29.09,42.91,42.91,451400,-0.043041926851026036
2020-03-17,40.029999,45.849998,35.189999,42.580002,42.580002,264800,-0.007690468422279051
2020-03-18,39.939999,42.490002000000004,36.07,39.5,39.5,604000,-0.07233447288236394
2020-03-19,39.0,45.700001,34.689999,43.389998999999996,43.389998999999996,224900,0.09848098734177202
2020-03-20,43.490002000000004,45.349998,39.98,40.709998999999996,40.709998999999996,144300,-0.061765385152463326
2020-03-23,41.110001000000004,41.110001000000004,38.709998999999996,40.360001000000004,40.360001000000004,335900,-0.00859734730035222
2020-03-24,41.560001,44.990002000000004,40.349998,42.240002000000004,42.240002000000004,105800,0.046580796665490753
2020-03-25,42.400002,45.310001,40.93,42.849998,42.849998,244300,0.014441192498049427
2020-03-26,43.549999,45.939999,43.290001000000004,45.939999,45.939999,74800,0.07211204537279103
2020-03-27,44.889998999999996,46.68,44.220001,44.759997999999996,44.759997999999996,155900,-0.025685699296597808
2020-03-30,44.470001,44.59,41.32,42.380001,42.380001,143500,-0.053172410776247014
2020-03-31,42.200001,44.52,41.529999,42.259997999999996,42.259997999999996,120800,-0.002831595025210243
2020-04-01,41.400002,41.400002,36.650002,38.509997999999996,38.509997999999996,154800,-0.08873639795250343
2020-04-02,38.299999,42.290001000000004,38.299999,39.869999,39.869999,149700,0.035315530268269724
2020-04-03,40.689999,41.049999,36.119999,37.459998999999996,37.459998999999996,82800,-0.060446452481726975
